#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
acj0216.fna	NODE_8_length_97115_cov_52.545944	24561	25594	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
acj0216.fna	NODE_8_length_97115_cov_52.545944	43493	43876	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0216.fna	NODE_8_length_97115_cov_52.545944	44298	44834	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0216.fna	NODE_9_length_93298_cov_52.643924	63573	64638	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.25	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
acj0411_bin.2.fna	NODE_14_length_99175_cov_36.268365	61800	63151	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.21	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
acj0411_bin.2.fna	NODE_27_length_83030_cov_40.239219	78048	81107	+	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.94	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
acj0411_bin.2.fna	NODE_38_length_67986_cov_33.446824	24567	25600	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
acj0411_bin.2.fna	NODE_38_length_67986_cov_33.446824	44789	45172	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0411_bin.2.fna	NODE_38_length_67986_cov_33.446824	45594	46130	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0411_bin.2.fna	NODE_6_length_164586_cov_31.524514	60516	61225	+	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
acj0411_bin.2.fna	NODE_78_length_35724_cov_25.408405	6098	7163	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.07	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000162075.1.fna	GG705011.1	149745	150778	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_000162075.1.fna	GG705011.1	171218	171601	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000162075.1.fna	GG705011.1	172023	172559	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000162075.1.fna	GG705011.1	1749666	1750731	+	(pilT)	3-1068/1068	========/======	2/2	99.72	83.79	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000162075.1.fna	GG705011.1	1922980	1923689	-	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000162075.1.fna	GG705012.1	345649	346551	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.31	VFG037822(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_000162075.1.fna	GG705016.1	68936	70294	-	(AB57_RS00570)	13-1371/1371	========/======	2/2	99.05	80.96	VFG038170(gb|WP_000209955)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_000302355.1.fna	AMJF01000003.1	29792	33112	-	(vgrG/tssI)	1-3321/3321	===============	0/0	100.00	84.04	VFG050922(gb|WP_000898328.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000302355.1.fna	AMJF01000030.1	7252	8603	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	80.77	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_000302355.1.fna	AMJF01000067.1	88858	89394	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000302355.1.fna	AMJF01000067.1	89816	90199	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000302355.1.fna	AMJF01000067.1	109402	110459	-	(ompA)	1-1046/1071	========/======	6/30	96.83	85.19	VFG038176(gb|WP_000777882)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_000302355.1.fna	AMJF01000092.1	97223	97932	-	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000302355.1.fna	AMJF01000110.1	28489	29554	-	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000302355.1.fna	AMJF01000135.1	33554	34456	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368665.1.fna	KB849603.1	113346	114697	+	(ABBFA_RS17100)	13-1364/1371	========/======	2/2	98.54	81.08	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_000368665.1.fna	KB849603.1	133527	134398	-	(A1S_0055)	1-872/879	========/======	4/6	98.86	85.49	VFG037943(gb|YP_001083152)	WecE	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000368665.1.fna	KB849603.1	134601	135179	-	(A1S_0054)	1-579/579	===============	0/0	100.00	89.29	VFG037928(gb|YP_001083151)	WbbJ	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000368665.1.fna	KB849603.1	135176	136033	-	(A1S_0053)	1-858/858	===============	0/0	100.00	85.43	VFG037913(gb|YP_001083150)	MviM	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000368665.1.fna	KB849606.1	234927	235463	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368665.1.fna	KB849606.1	235885	236268	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368665.1.fna	KB849606.1	258622	259643	-	(ompA)	1-1037/1062	========/======	7/17	96.14	84.39	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368665.1.fna	KB849606.1	367450	368167	-	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368665.1.fna	KB849607.1	416666	419670	-	(vgrG/tssI)	1-3005/3282	========/=====.	2/2	91.53	84.83	VFG050912(gb|WP_000898330.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_000368665.1.fna	KB849609.1	1204019	1204522	-	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.30	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368665.1.fna	KB849609.1	1204578	1205999	-	(tssC)	61-1482/1482	===============	0/0	95.95	83.97	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_000368665.1.fna	KB849609.1	1261477	1262542	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.25	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000368665.1.fna	KB849609.1	1430787	1431496	-	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368745.1.fna	KB849646.1	141844	142865	+	(ompA)	1-1037/1062	========/======	7/17	96.14	84.59	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368745.1.fna	KB849646.1	162069	162452	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368745.1.fna	KB849646.1	162874	163410	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368745.1.fna	KB849647.1	126680	127582	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.20	VFG037822(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_000368745.1.fna	KB849648.1	67756	68465	+	(bfmR)	1-710/717	===============	0/0	99.02	84.79	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368745.1.fna	KB849648.1	235899	236964	-	(pilT)	3-1068/1068	========/======	2/2	99.72	83.60	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000368745.1.fna	KB849648.1	282547	283968	+	(tssC)	61-1482/1482	===============	0/0	95.95	83.90	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_000368745.1.fna	KB849648.1	284024	284527	+	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.70	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368745.1.fna	KB849651.1	143550	144899	+	(ABBFA_RS17100)	13-1362/1371	===============	0/0	98.47	80.52	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_000368745.1.fna	KB849651.1	154725	155302	-	(ABAYE_RS18890)	7-584/615	===============	0/0	93.98	82.18	VFG037974(gb|WP_000919783)	sugar	transferase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AYE]	
GCA_000368745.1.fna	KB849651.1	156590	157930	-	(BJAB07104_RS00505)	1-1341/1341	===============	0/0	100.00	85.91	VFG037990(gb|WP_000705810)	UDP-glucose/GDP-mannose	dehydrogenase family protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_000368745.1.fna	KB849651.1	157936	158727	-	(BJAB07104_RS00500)	1-792/792	========/======	4/4	99.75	86.40	VFG037975(gb|WP_000567619)	glycosyltransferase	family 2 protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_000368745.1.fna	KB849651.1	159989	160999	-	(BJAB07104_RS00490)	1-1011/1011	===============	0/0	100.00	87.44	VFG037945(gb|WP_000961495)	glycosyltransferase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_000368745.1.fna	KB849651.1	161959	163449	-	(BJAB07104_RS00480)	28-1518/1518	========/======	9/22	97.50	81.22	VFG037915(gb|WP_000711197)	oligosaccharide	flippase family protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_000368765.1.fna	KB849654.1	407551	408616	+	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000368765.1.fna	KB849654.1	574902	575611	-	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368765.1.fna	KB849655.1	1197422	1197958	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368765.1.fna	KB849655.1	1198380	1198763	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000368765.1.fna	KB849655.1	1217966	1219023	-	(ompA)	1-1046/1071	========/======	6/30	96.83	85.19	VFG038176(gb|WP_000777882)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_000368765.1.fna	KB849655.1	1739893	1740795	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368765.1.fna	KB849655.1	1785670	1788990	-	(vgrG/tssI)	1-3321/3321	===============	0/0	100.00	84.04	VFG050922(gb|WP_000898328.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000368765.1.fna	KB849659.1	67325	68676	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	80.77	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_000430225.1.fna	ASYZ01000016.1	26405	27122	-	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000430225.1.fna	ASYZ01000019.1	6033	7098	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.25	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000430225.1.fna	ASYZ01000026.1	9666	10169	-	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.30	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000430225.1.fna	ASYZ01000026.1	10225	11646	-	(tssC)	61-1482/1482	===============	0/0	95.95	83.97	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_000430225.1.fna	ASYZ01000030.1	18556	19907	+	(ABBFA_RS17100)	13-1364/1371	========/======	2/2	98.54	81.08	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_000430225.1.fna	ASYZ01000030.1	38737	39608	-	(A1S_0055)	1-872/879	========/======	4/6	98.86	85.49	VFG037943(gb|YP_001083152)	WecE	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000430225.1.fna	ASYZ01000030.1	39811	40389	-	(A1S_0054)	1-579/579	===============	0/0	100.00	89.29	VFG037928(gb|YP_001083151)	WbbJ	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000430225.1.fna	ASYZ01000030.1	40386	41243	-	(A1S_0053)	1-858/858	===============	0/0	100.00	85.43	VFG037913(gb|YP_001083150)	MviM	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_000430225.1.fna	ASYZ01000048.1	20445	21154	-	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000430225.1.fna	ASYZ01000096.1	4613	4996	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000430225.1.fna	ASYZ01000096.1	5418	5954	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_000430225.1.fna	ASYZ01000107.1	14699	15720	-	(ompA)	1-1037/1062	========/======	7/17	96.14	84.39	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_000430225.1.fna	ASYZ01000183.1	15549	18553	+	(vgrG/tssI)	1-3005/3282	========/=====.	2/2	91.53	84.83	VFG050912(gb|WP_000898330.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_000775815.1.fna	BBOS01000006.1	46672	47574	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.20	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_000775815.1.fna	BBOS01000010.1	28436	29501	-	(pilT)	3-1068/1068	========/======	2/2	99.72	84.25	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_000775815.1.fna	BBOS01000016.1	43991	45042	+	(ompA)	1-1046/1071	========/======	5/24	96.83	86.24	VFG038176(gb|WP_000777882)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_000775815.1.fna	BBOS01000033.1	20328	21037	-	(bfmR)	1-710/717	===============	0/0	99.02	85.35	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
